submission_date,state,conf_cases,new_case,conf_death,new_death
03/11/2021,KS,241035,0,,0
12/01/2021,ND,135705,589,,9
01/02/2022,AS,,0,,0
11/22/2021,AL,620483,703,12727,7
05/30/2022,AK,,0,,0
05/17/2020,RMI,0,0,0,0
04/03/2020,ND,,14,,0
09/04/2021,PR,144788,667,2482,8
05/09/2021,PW,,0,,0
08/15/2022,NM,,1509,,6
01/01/2022,UT,636992,0,3635,0
05/01/2021,SD,,28,1601,0
04/03/2021,OH,866822,2293,18646,0
10/16/2022,NYC,2452178,5934,36503,8
03/17/2022,GU,,45,,0
07/08/2020,OK,,1040,469,4
07/31/2020,ND,6602,133,,0
08/11/2020,GU,,15,,0
02/25/2022,SD,,133,2802,14
07/26/2021,OK,373929,1028,6379,8
05/20/2022,NY,,6217,,17
04/03/2022,OK,756298,0,9808,0
09/23/2021,NYC,881626,1755,28965,20
03/06/2020,MP,0,0,0,0
07/26/2022,AS,,0,,0
09/05/2021,AL,550893,2485,10751,73
07/20/2020,GA,143697,2766,3176,3
04/09/2022,SD,,0,2893,0
06/06/2022,NYC,2141413,2873,34946,22
03/19/2022,PA,2300080,691,,0
03/14/2022,AS,,112,,0
03/19/2020,GA,493,115,,7
06/14/2022,GU,,244,,1
10/05/2022,TX,,3563,,34
08/30/2022,AS,,0,,0
03/23/2020,NY,,2447,,7
03/06/2020,TX,,5,,0
11/27/2020,PA,326011,7389,,21
09/26/2020,MS,90894,317,2931,3
05/10/2020,NYC,185002,1101,16217,152
03/15/2020,NYC,1301,619,3,0
01/13/2021,WA,,2431,,49
06/17/2021,HI,,31,,0
03/31/2021,ND,96726,208,,0
08/09/2021,SD,,123,1672,0
12/22/2020,WA,,2044,,25
07/30/2021,TN,732055,2307,10269,2
06/28/2021,UT,414204,254,2295,2
02/24/2020,ND,,0,,0
09/08/2021,KS,305493,1147,,15
06/13/2020,TX,,2331,,39
09/10/2022,SD,,0,3002,0
06/12/2020,NM,,159,,6
09/24/2020,NYC,237554,461,18864,4
06/01/2022,GA,1992974,15060,31836,44
09/05/2021,SD,,307,1696,0
06/19/2021,RMI,4,0,0,0
12/30/2021,HI,,3425,,0
02/28/2020,WA,,0,,0
03/07/2021,UT,374850,412,1920,1
03/12/2020,OK,,20,0,0
02/28/2022,MP,9724,174,30,0
02/05/2020,KS,,0,,0
07/11/2021,NY,,254,,0
02/06/2022,KS,561904,0,,0
02/28/2020,GA,,0,,0
03/18/2021,AS,,0,,0
10/14/2022,TX,,3972,,34
10/07/2022,PW,,21,,0
02/23/2020,OH,,0,,0
08/07/2021,UT,439151,672,2425,3
07/20/2021,AL,431745,1550,9297,6
09/20/2022,SD,,0,3014,0
05/17/2022,IN,,0,22694,0
10/21/2020,NM,,819,,8
09/24/2021,GA,1207024,4300,21991,140
06/19/2020,OK,,535,409,2
05/14/2020,SD,,60,43,4
08/22/2022,FL,,6870,,43
08/20/2022,AL,1047109,1166,15511,6
01/23/2020,PR,,0,,0
07/17/2020,OH,68175,1679,2858,9
02/27/2022,IN,,0,21922,0
01/08/2022,ND,147398,930,,1
06/28/2021,NYC,787657,160,28322,2
09/03/2020,AK,,86,,0
06/18/2021,SD,,4,1650,0
05/24/2022,KS,588112,0,,0
02/14/2022,MS,430995,4719,7702,94
01/06/2021,PR,78129,1733,1321,3
04/12/2021,UT,390289,185,2098,0
10/12/2022,PR,414628,619,4166,4
08/23/2020,NY,,293,,6
04/10/2021,FL,,5520,,50
06/05/2020,WA,,352,,11
01/11/2022,PW,,3,,0
11/12/2020,HI,,94,,0
05/05/2020,WV,1242,18,,0
10/08/2021,UT,520190,1637,2893,11
11/14/2021,TX,,553,,38
10/26/2020,IN,,1974,3907,12
08/12/2020,GA,223995,3767,4456,105
10/17/2020,FL,,2476,,74
12/20/2021,SD,,366,2060,5
04/27/2020,TX,,666,,25
05/05/2021,NYC,772167,1196,27700,25
03/02/2020,IN,,0,0,0
11/03/2020,ND,48301,1114,,12
05/09/2021,UT,400352,232,2159,1
06/21/2022,OK,775217,0,10154,0
04/08/2020,NY,,5616,,167
12/08/2020,GA,452369,5577,9027,22
08/18/2021,FL,,24405,,369
05/16/2022,AL,940083,490,15115,2
04/23/2020,AS,,0,,0
04/23/2021,WV,118713,405,,5
04/26/2020,WV,1053,28,,1
10/08/2021,ND,119955,552,,7
05/10/2020,OK,,55,296,3
04/14/2022,NYC,1989160,2866,34625,5
04/17/2022,IA,,0,,0
07/15/2020,IA,,444,,10
06/11/2020,SD,,61,72,4
01/21/2022,TN,1337018,21543,16623,140
07/30/2022,MA,1803391,0,19898,0
02/04/2020,WA,,0,,0
07/23/2022,GU,,0,,0
07/21/2021,WA,,830,,7
07/26/2020,OH,79573,889,3049,10
11/10/2020,OH,247260,6508,5212,23
12/05/2021,AK,,0,,0
03/04/2020,NY,,1,,0
07/24/2021,MP,188,0,2,0
03/10/2021,FL,,5046,,63
06/14/2022,PW,,20,,0
09/04/2020,OH,121765,1332,3962,22
11/10/2020,HI,,69,,1
05/04/2022,MS,438516,218,8201,0
04/10/2022,CO,1294637,294,10521,0
08/18/2021,GU,,82,,0
10/03/2022,PA,2678949,0,,0
11/01/2020,MA,155660,1131,9823,20
02/21/2020,GA,,0,,0
08/13/2022,PA,2585999,0,,0
07/25/2021,WA,,1014,,3
06/01/2020,TX,,593,,20
09/01/2022,PA,2625738,0,,0
05/21/2021,NM,,173,,5
07/14/2022,IA,,0,,0
05/25/2020,MA,93271,596,6687,67
07/01/2021,MP,183,0,2,0
07/13/2022,UT,989767,0,4602,0
04/19/2022,ND,180515,95,,0
03/23/2020,AK,,13,,0
09/28/2021,CO,618907,1849,6681,19
02/06/2022,RMI,7,0,0,0
08/20/2020,NYC,227959,310,18727,1
03/07/2020,TX,,0,,0
08/14/2021,TN,770655,5533,10462,22
04/10/2020,CO,6001,370,250,24
10/20/2021,MP,289,0,3,0
08/23/2020,PA,130135,614,,2
03/10/2020,MA,,63,0,0
06/05/2020,MP,26,2,2,0
07/23/2021,HI,,215,,0
01/17/2021,TN,581883,6908,6987,44
09/05/2022,KS,644318,0,,0
05/18/2021,KS,252213,259,,0
03/14/2021,WA,,670,,0
03/22/2022,NM,,116,,14
04/08/2020,AL,2523,306,112,10
04/19/2021,CO,465933,913,5464,2
05/15/2022,RMI,17,0,0,0
08/19/2020,OH,104999,958,3627,36
11/06/2021,TX,,2469,,132
01/06/2022,KS,421916,0,,0
09/19/2022,NM,,527,,6
03/04/2020,WA,,16,,1
11/05/2020,KS,82991,0,,0
04/15/2022,IN,,0,22576,0
03/06/2021,IN,,1244,12300,29
11/15/2020,IA,,3824,,12
02/26/2021,TX,,7961,,155
02/20/2022,MA,1529953,0,22408,0
05/19/2022,GA,1970507,0,31754,0
04/06/2020,MP,8,0,1,0
03/22/2021,MP,157,0,2,0
10/30/2021,MS,289237,0,6749,0
12/30/2021,UT,636992,3563,3635,6
04/19/2022,AS,,0,,0
12/09/2020,IA,,2465,,102
08/25/2022,FL,,6789,,66
07/17/2021,GU,,0,,0
10/20/2021,CO,660107,2308,7084,22
09/21/2020,WA,,320,,18
07/25/2022,NY,,2264,,13
09/07/2020,GU,,0,,0
10/29/2020,MA,151741,1346,9772,19
05/23/2022,NM,,1436,,9
06/27/2022,NY,,3648,,0
05/09/2020,GA,30653,307,1404,42
10/16/2022,CO,1501888,0,11765,0
03/25/2021,WV,110585,433,,5
05/23/2021,PR,122353,82,2112,2
03/06/2020,ND,,0,,0
12/30/2021,GA,1402483,24420,26407,64
03/13/2020,KS,,2,,0
05/03/2021,ND,99606,149,,0
01/23/2020,AL,0,0,0,0
08/29/2021,AS,,0,,0
01/25/2021,HI,,116,,0
01/10/2022,WA,,13179,,24
10/18/2021,ND,122955,923,,10
10/20/2020,CO,83260,1115,1801,2
01/23/2022,CO,1182836,8665,9538,0
03/13/2022,SD,,0,2853,0
11/14/2021,UT,571507,0,3226,0
08/26/2020,SD,,66,160,1
03/29/2020,IA,,38,,1
02/21/2020,IN,,0,,0
10/05/2022,IN,,3652,23689,40
03/28/2022,AR,,21,,1
03/16/2021,PA,835855,3145,,65
11/13/2021,TX,,3849,,84
07/15/2022,TN,1626701,2917,19528,11
01/10/2021,GU,,0,,0
